talkNo,title,content,content_date,comment_date,comment_text
978055,오상헬스케어 가보신 분,거기 갑자기 자르거나 이런거 겪어본 적 있음?,2025-01-28 19:09,2025-01-29 00:02,오상 씨 발
978055,오상헬스케어 가보신 분,거기 갑자기 자르거나 이런거 겪어본 적 있음?,2025-01-28 19:09,2025-01-31 17:06,2월3일부터 출근 하라했는데 방금 출근취소문자 옴요 ㅋㅋㅋㅋㅋ
978055,오상헬스케어 가보신 분,거기 갑자기 자르거나 이런거 겪어본 적 있음?,2025-01-28 19:09,2025-01-31 17:37,오상가지마세요
978055,오상헬스케어 가보신 분,거기 갑자기 자르거나 이런거 겪어본 적 있음?,2025-01-28 19:09,2025-01-31 19:37,오상자이엘 내 주식 ㅠㅠㅠㅠ 아오 내 돈…코로나로 말아먹은 내 주식 하…..
978051,매드포갈릭 ㅂㄷㅅㅎ,홀이든 주방이든 가지않는게좋음양쪽다 빌런한명씩은 있어서나중에 직원들자체가 바뀐다면모를까(이미 직원 바뀐지 아닌지는 모름)세줄요약1 빌런 몇잇음2 내가나간후에도 안고쳐짐3 사람이문제고 브랜드 는문제없음빌런 11 같잖은 개그안받아주면 지랄함2 다른알바나 직원들한태 회식강요 계속 끈질기게 물어보고안가면 존나 꼽주고 꺼지라면서 욕함3 실수하면 그것도 사람들 앞에서 몇일을 갈굼4 성희롱성 발언을 서슴치않음(여 실습생한테도 갑자기 모자를 벗어보라느니 +안물어보고 안궁금한 자기 19금 경험담 들려줌 등등)빌런2다른 알바들 투잡뛰면 스케쥴  안나와서 짜기힘드니까여기일만 하는게 맞다고 헌신하란듯이 사회초년생들 데리고  가스라이팅함그래놓고 고정스케쥴로 사전에 얘기해놔도맘대로 이상한 스케쥴넣고 안된다고하면 지랄발광함(예시:그냥 맘대로 스케쥴짠거면서  지가 신경써줘서 짜준거라 하고)자기가 좋아하는알바생한테만스캐쥴에 일할 시프트 더잘 할당해줌그래놓고 막상 시간 비워두라고한다른알바생 일주일에 하루 넣어주고이게 뭐하는짓임?거기 일했던사람들 한테 건너건너 들어보니아직도 지들보다 어린사람들괴롭히고있다고 전해듣기도해서사실 전에 여기에다가 비슷하게올린적있었는데 지점명을 추가한거뿐임여기그만두고 상담 다니고나는 다른일 급하게 하다가 또다치고해서화나서 씀사람이문제지 저 브랜드가문제는 아님,2025-01-28 18:52,2025-01-28 18:54,왜저러는거냐 에휴
978051,매드포갈릭 ㅂㄷㅅㅎ,홀이든 주방이든 가지않는게좋음양쪽다 빌런한명씩은 있어서나중에 직원들자체가 바뀐다면모를까(이미 직원 바뀐지 아닌지는 모름)세줄요약1 빌런 몇잇음2 내가나간후에도 안고쳐짐3 사람이문제고 브랜드 는문제없음빌런 11 같잖은 개그안받아주면 지랄함2 다른알바나 직원들한태 회식강요 계속 끈질기게 물어보고안가면 존나 꼽주고 꺼지라면서 욕함3 실수하면 그것도 사람들 앞에서 몇일을 갈굼4 성희롱성 발언을 서슴치않음(여 실습생한테도 갑자기 모자를 벗어보라느니 +안물어보고 안궁금한 자기 19금 경험담 들려줌 등등)빌런2다른 알바들 투잡뛰면 스케쥴  안나와서 짜기힘드니까여기일만 하는게 맞다고 헌신하란듯이 사회초년생들 데리고  가스라이팅함그래놓고 고정스케쥴로 사전에 얘기해놔도맘대로 이상한 스케쥴넣고 안된다고하면 지랄발광함(예시:그냥 맘대로 스케쥴짠거면서  지가 신경써줘서 짜준거라 하고)자기가 좋아하는알바생한테만스캐쥴에 일할 시프트 더잘 할당해줌그래놓고 막상 시간 비워두라고한다른알바생 일주일에 하루 넣어주고이게 뭐하는짓임?거기 일했던사람들 한테 건너건너 들어보니아직도 지들보다 어린사람들괴롭히고있다고 전해듣기도해서사실 전에 여기에다가 비슷하게올린적있었는데 지점명을 추가한거뿐임여기그만두고 상담 다니고나는 다른일 급하게 하다가 또다치고해서화나서 씀사람이문제지 저 브랜드가문제는 아님,2025-01-28 18:52,2025-01-28 20:11,"2,4는 점주한테 말하거나 본사에 신고해야지"
978051,매드포갈릭 ㅂㄷㅅㅎ,홀이든 주방이든 가지않는게좋음양쪽다 빌런한명씩은 있어서나중에 직원들자체가 바뀐다면모를까(이미 직원 바뀐지 아닌지는 모름)세줄요약1 빌런 몇잇음2 내가나간후에도 안고쳐짐3 사람이문제고 브랜드 는문제없음빌런 11 같잖은 개그안받아주면 지랄함2 다른알바나 직원들한태 회식강요 계속 끈질기게 물어보고안가면 존나 꼽주고 꺼지라면서 욕함3 실수하면 그것도 사람들 앞에서 몇일을 갈굼4 성희롱성 발언을 서슴치않음(여 실습생한테도 갑자기 모자를 벗어보라느니 +안물어보고 안궁금한 자기 19금 경험담 들려줌 등등)빌런2다른 알바들 투잡뛰면 스케쥴  안나와서 짜기힘드니까여기일만 하는게 맞다고 헌신하란듯이 사회초년생들 데리고  가스라이팅함그래놓고 고정스케쥴로 사전에 얘기해놔도맘대로 이상한 스케쥴넣고 안된다고하면 지랄발광함(예시:그냥 맘대로 스케쥴짠거면서  지가 신경써줘서 짜준거라 하고)자기가 좋아하는알바생한테만스캐쥴에 일할 시프트 더잘 할당해줌그래놓고 막상 시간 비워두라고한다른알바생 일주일에 하루 넣어주고이게 뭐하는짓임?거기 일했던사람들 한테 건너건너 들어보니아직도 지들보다 어린사람들괴롭히고있다고 전해듣기도해서사실 전에 여기에다가 비슷하게올린적있었는데 지점명을 추가한거뿐임여기그만두고 상담 다니고나는 다른일 급하게 하다가 또다치고해서화나서 씀사람이문제지 저 브랜드가문제는 아님,2025-01-28 18:52,2025-01-28 23:36,본사에 신고하세요 진짜 이상한 사람들이네요...
978050,편의점도 보건증 필요해요?,궁금합니다.,2025-01-28 18:50,2025-01-28 18:52,편의점도 치킨 팔더라고요.. 보건증 필요할거같아요 안파는곳도 있지만
978050,편의점도 보건증 필요해요?,궁금합니다.,2025-01-28 18:50,2025-01-28 20:41,치킨 안 팔아도 보건증 필요하다고 하더라고요. 커피 때문인가?
978050,편의점도 보건증 필요해요?,궁금합니다.,2025-01-28 18:50,2025-01-28 21:35,네 필요합니다. 요새 치킨하고 커피 파는 편의점들 많아서요. 보건증 3000원밖에 안하니까 하나 받아두세요. 알바 구할때 마음이 정말 편해지더라고요
